date,state,device,type,message,illuminance,linkquality,occupancy,temperature,description,humidity,winddirection,precipitation,pressure,windspeed,battery,voltage,contact
2019-02-13 02:00:05,,,,,,,,10.4,"Porto, Massarelos @ 2019-02-13T01:00",62.0,,0.0,,,,,
2019-02-13 02:21:11,,,,,,0.0,,13.27,,83.81,,,1022.83,,55.0,2995.0,
2019-02-13 02:21:11,,,,,,0.0,,13.27,,84.9,,,1022.0,,55.0,2995.0,
2019-02-13 02:23:54,,,,,,0.0,,,,,,,,,31.0,2965.0,True
2019-02-13 02:23:54,,,,,,0.0,,,,,,,,,31.0,2965.0,True
2019-02-13 02:36:46,,,,,,0.0,,13.27,,84.9,,,1022.0,,55.0,2995.0,
2019-02-13 03:00:05,,,,,,,,9.8,"Porto, Massarelos @ 2019-02-13T02:00",64.0,,0.0,,,,,
2019-02-13 03:14:19,,,,,,0.0,,,,,,,,,31.0,2965.0,True
2019-02-13 03:36:15,,,,,,10.0,,13.27,,84.96,,,1022.5,,55.0,2995.0,
2019-02-13 03:55:01,,,,,,0.0,,13.17,,85.89,,,1022.36,,55.0,2995.0,
2019-02-13 03:55:01,,,,,,0.0,,13.17,,86.09,,,1022.0,,55.0,2995.0,
2019-02-13 04:00:05,,,,,,,,9.3,"Porto, Massarelos @ 2019-02-13T03:00",65.0,,0.0,,,,,
2019-02-13 04:04:43,,,,,,0.0,,,,,,,,,31.0,2965.0,True
2019-02-13 04:04:43,,,,,,0.0,,,,,,,,,31.0,2965.0,True
2019-02-13 04:28:32,,,,,,5.0,,13.17,,86.09,,,1022.0,,55.0,2995.0,
2019-02-13 04:55:08,,,,,,0.0,,,,,,,,,31.0,2965.0,True
2019-02-13 05:00:05,,,,,,,,8.8,"Porto, Massarelos @ 2019-02-13T04:00",67.0,,0.0,,,,,
2019-02-13 05:25:20,,,,,,0.0,,13.09,,86.68,,,1022.18,,55.0,2995.0,
2019-02-13 05:45:31,,,,,,0.0,,,,,,,,,31.0,2965.0,True
2019-02-13 06:00:05,,,,,,,,8.3,"Porto, Massarelos @ 2019-02-13T05:00",69.0,,0.0,,,,,
