date,temperature,illuminance,occupancy,humidity,contact,feedback,linkquality
2019-02-15 01:45:36.639000+00:00,18.49,,,52.39,,,
2019-02-15 02:00:05.197000+00:00,14.6,,,53.0,,,
2019-02-15 02:06:01.671000+00:00,18.49,,,52.39,,,
2019-02-15 02:06:01.672000+00:00,18.52,,,52.37,,,
2019-02-15 03:00:05.061000+00:00,13.4,,,57.0,,,
2019-02-15 03:02:56.014000+00:00,18.52,,,52.37,,,
2019-02-15 03:02:56.015000+00:00,18.45,,,52.24,,,
2019-02-15 03:57:20.032000+00:00,18.45,,,52.24,,,
2019-02-15 04:00:04.938000+00:00,12.9,,,59.0,,,
2019-02-15 04:48:23.107000+00:00,18.39,,,52.55,,,
2019-02-15 05:00:04.846000+00:00,11.0,,,68.0,,,
2019-02-15 05:31:14.171000+00:00,18.35,,,52.67,,,
2019-02-15 05:31:14.223000+00:00,18.35,,,52.52,,,
2019-02-15 05:39:56.504000+00:00,18.35,,,52.52,,,
2019-02-15 06:00:04.845000+00:00,10.2,,,70.0,,,
2019-02-15 06:02:52.832000+00:00,18.26,,,52.64,,,
2019-02-15 06:02:52.895000+00:00,18.26,,,52.65,,,
2019-02-15 06:30:29.745000+00:00,18.26,,,52.65,,,
2019-02-15 06:57:47.090000+00:00,18.29,,,52.55,,,
2019-02-15 06:57:47.139000+00:00,18.29,,,52.75,,,
2019-02-15 07:00:04.781000+00:00,9.8,,,71.0,,,
2019-02-15 07:06:39.459000+00:00,18.25,,,52.75,,,
2019-02-15 07:06:39.460000+00:00,18.25,,,52.87,,,
2019-02-15 07:06:39.523000+00:00,18.25,,,52.87,,,
2019-02-15 07:15:01.740000+00:00,18.26,,,52.87,,,
2019-02-15 07:15:01.790000+00:00,18.26,,,53.0,,,
2019-02-15 07:15:01.791000+00:00,18.26,,,53.0,,,
2019-02-15 07:29:55.661000+00:00,18.26,,,53.0,,,
2019-02-15 07:35:37.769000+00:00,18.22,,,53.07,,,
2019-02-15 07:35:37.830000+00:00,18.22,,,53.12,,,
2019-02-15 07:35:37.831000+00:00,18.22,,,53.12,,,
2019-02-15 07:57:43.384000+00:00,18.21,,,53.12,,,
2019-02-15 07:57:43.435000+00:00,18.21,,,53.26,,,
2019-02-15 08:00:04.686000+00:00,11.1,,,62.0,,,
2019-02-15 08:14:57.862000+00:00,18.22,,,53.26,,,
2019-02-15 08:14:57.926000+00:00,18.22,,,53.11,,,
2019-02-15 08:14:57.927000+00:00,18.22,,,53.11,,,
2019-02-15 08:20:29.450000+00:00,18.22,,,53.11,,,
2019-02-15 08:30:52.693000+00:00,18.25,,,53.2,,,
2019-02-15 08:30:52.749000+00:00,18.25,,,54.1,,,
2019-02-15 08:44:06.186000+00:00,18.33,,,54.1,,,
2019-02-15 08:44:06.240000+00:00,18.33,,,54.41,,,
2019-02-15 08:44:06.241000+00:00,18.33,,,54.41,,,
2019-02-15 09:00:04.565000+00:00,9.2,,,78.0,,,
2019-02-15 09:13:13.422000+00:00,18.33,,,54.41,,,
2019-02-15 09:13:13.423000+00:00,18.28,,,53.8,,,
2019-02-15 09:23:36.749000+00:00,18.28,,,53.8,,,
2019-02-15 09:23:36.787000+00:00,18.28,,,53.98,,,
2019-02-15 09:23:36.789000+00:00,18.28,,,53.98,,,
2019-02-15 09:53:44.282000+00:00,18.31,,,53.98,,,
2019-02-15 09:53:44.335000+00:00,18.31,,,54.81,,,
2019-02-15 10:00:05.583000+00:00,9.9,,,80.0,,,
2019-02-15 10:12:59.144000+00:00,18.31,,,54.81,,,
2019-02-15 10:32:34.651000+00:00,18.25,,,54.91,,,
2019-02-15 10:32:34.702000+00:00,18.25,,,55.05,,,
2019-02-15 10:49:59.115000+00:00,18.28,,,55.05,,,
2019-02-15 10:49:59.164000+00:00,18.28,,,55.07,,,
2019-02-15 11:00:05.486000+00:00,12.1,,,72.0,,,
2019-02-15 11:05:23.023000+00:00,18.28,,,55.07,,,
2019-02-15 11:05:23.024000+00:00,18.23,,,55.06,,,
2019-02-15 11:17:16.706000+00:00,18.25,,,55.06,,,
2019-02-15 11:17:16.754000+00:00,18.25,,,55.04,,,
2019-02-15 11:45:23.763000+00:00,18.25,,,55.04,,,
2019-02-15 11:45:23.811000+00:00,18.25,,,55.14,,,
2019-02-15 11:45:23.812000+00:00,18.25,,,55.14,,,
2019-02-15 11:59:27.394000+00:00,18.25,,,55.14,,,
2019-02-15 12:00:05.330000+00:00,13.4,,,67.0,,,
2019-02-15 12:34:26.673000+00:00,18.26,,,55.13,,,
2019-02-15 12:34:26.723000+00:00,18.26,,,55.28,,,
2019-02-15 12:50:50.827000+00:00,18.26,,,55.28,,,
2019-02-15 12:55:32.716000+00:00,18.29,,,55.42,,,
2019-02-15 12:55:32.770000+00:00,18.29,,,55.42,,,
2019-02-15 12:55:32.771000+00:00,18.29,,,55.42,,,
2019-02-15 13:00:05.345000+00:00,14.8,,,61.0,,,
2019-02-15 13:19:28.812000+00:00,18.26,,,55.42,,,
2019-02-15 13:19:28.864000+00:00,18.26,,,55.49,,,
2019-02-15 13:45:35.284000+00:00,18.26,,,55.49,,,
2019-02-15 13:48:46.783000+00:00,18.28,,,55.56,,,
2019-02-15 13:48:46.843000+00:00,18.28,,,55.61,,,
2019-02-15 14:00:05.225000+00:00,15.8,,,60.0,,,
2019-02-15 14:02:20.348000+00:00,18.29,,,55.61,,,
2019-02-15 14:02:20.349000+00:00,18.29,,,55.63,,,
2019-02-15 14:02:20.407000+00:00,18.29,,,55.63,,,
2019-02-15 14:37:59.171000+00:00,18.29,,,55.63,,,
2019-02-15 14:37:59.223000+00:00,18.29,,,55.71,,,
2019-02-15 14:37:59.224000+00:00,18.29,,,55.71,,,
2019-02-15 14:41:10.148000+00:00,18.29,,,55.71,,,
2019-02-15 15:00:05.125000+00:00,16.1,,,62.0,,,
2019-02-15 15:36:14.099000+00:00,18.36,,,55.69,,,
2019-02-15 15:36:14.151000+00:00,18.36,,,55.69,,,
2019-02-15 15:36:14.152000+00:00,18.36,,,55.69,,,
2019-02-15 15:38:54.951000+00:00,18.36,,,55.69,,,
2019-02-15 16:00:05.174000+00:00,16.5,,,57.0,,,
2019-02-15 16:27:07.366000+00:00,18.42,,,55.7,,,
2019-02-15 16:27:07.417000+00:00,18.42,,,55.87,,,
2019-02-15 16:27:07.418000+00:00,18.42,,,55.87,,,
